Section,Date,Result,Measure_Number,Measure_Title,Senator,Party,State,Vote
Vote,,,,,Bennet,D,CO,Nay
Vote,,,,,Blumenthal,D,CT,Nay
Vote,,,,,Blunt,R,MO,Yea
Vote,,,,,Booker,D,NJ,Nay
Vote,,,,,Boozman,R,AR,Yea
Vote,,,,,Brown,D,OH,Nay
Vote,,,,,Burr,R,NC,Yea
Vote,,,,,Cantwell,D,WA,Nay
Vote,,,,,Capito,R,WV,Yea
Vote,,,,,Cardin,D,MD,Nay
Vote,,,,,Carper,D,DE,Nay
Vote,,,,,Casey,D,PA,Nay
Vote,,,,,Cassidy,R,LA,Yea
Vote,,,,,Cochran,R,MS,Not Voting
Vote,,,,,Collins,R,ME,Yea
Vote,,,,,Coons,D,DE,Nay
Vote,,,,,Corker,R,TN,Yea
Vote,,,,,Cornyn,R,TX,Yea
Vote,,,,,Cortez Masto,D,NV,Nay
Vote,,,,,Cotton,R,AR,Yea
Vote,,,,,Crapo,R,ID,Yea
Vote,,,,,Cruz,R,TX,Yea
Vote,,,,,Daines,R,MT,Yea
Vote,,,,,Donnelly,D,IN,Nay
Vote,,,,,Duckworth,D,IL,Nay
Vote,,,,,Durbin,D,IL,Nay
Vote,,,,,Enzi,R,WY,Yea
Vote,,,,,Ernst,R,IA,Yea
Vote,,,,,Feinstein,D,CA,Nay
Vote,,,,,Fischer,R,NE,Yea
Vote,,,,,Flake,R,AZ,Yea
Vote,,,,,Franken,D,MN,Nay
Vote,,,,,Gardner,R,CO,Yea
Vote,,,,,Gillibrand,D,NY,Nay
Vote,,,,,Graham,R,SC,Yea
Vote,,,,,Grassley,R,IA,Yea
Vote,,,,,Harris,D,CA,Nay
Vote,,,,,Hassan,D,NH,Nay
Vote,,,,,Hatch,R,UT,Yea
Vote,,,,,Heinrich,D,NM,Nay
Vote,,,,,Heitkamp,D,ND,Nay
Vote,,,,,Heller,R,NV,Yea
Vote,,,,,Hirono,D,HI,Nay
Vote,,,,,Hoeven,R,ND,Yea
Vote,,,,,Inhofe,R,OK,Yea
Vote,,,,,Isakson,R,GA,Yea
Vote,,,,,Johnson,R,WI,Yea
Vote,,,,,Kaine,D,VA,Nay
Vote,,,,,Kennedy,R,LA,Yea
Vote,,,,,King,I,ME,Nay
Vote,,,,,Klobuchar,D,MN,Nay
Vote,,,,,Lankford,R,OK,Yea
Vote,,,,,Leahy,D,VT,Nay
Vote,,,,,Lee,R,UT,Yea
Vote,,,,,Manchin,D,WV,Nay
Vote,,,,,Markey,D,MA,Nay
Vote,,,,,McCain,R,AZ,Yea
Vote,,,,,McCaskill,D,MO,Nay
Vote,,,,,McConnell,R,KY,Yea
Vote,,,,,Menendez,D,NJ,Not Voting
Vote,,,,,Merkley,D,OR,Nay
Vote,,,,,Moran,R,KS,Not Voting
Vote,,,,,Murkowski,R,AK,Yea
Vote,,,,,Murphy,D,CT,Nay
Vote,,,,,Murray,D,WA,Nay
Vote,,,,,Nelson,D,FL,Nay
Vote,,,,,Paul,R,KY,Yea
Vote,,,,,Perdue,R,GA,Yea
Vote,,,,,Peters,D,MI,Nay
Vote,,,,,Portman,R,OH,Yea
Vote,,,,,Reed,D,RI,Nay
Vote,,,,,Risch,R,ID,Yea
Vote,,,,,Roberts,R,KS,Yea
Vote,,,,,Rounds,R,SD,Yea
Vote,,,,,Rubio,R,FL,Yea
Vote,,,,,Sanders,I,VT,Nay
Vote,,,,,Sasse,R,NE,Yea
Vote,,,,,Schatz,D,HI,Nay
Vote,,,,,Schumer,D,NY,Nay
Vote,,,,,Scott,R,SC,Yea
Vote,,,,,Shaheen,D,NH,Nay
Vote,,,,,Shelby,R,AL,Yea
Vote,,,,,Stabenow,D,MI,Nay
Vote,,,,,Strange,R,AL,Yea
Vote,,,,,Sullivan,R,AK,Yea
Vote,,,,,Tester,D,MT,Nay
Vote,,,,,Thune,R,SD,Yea
Vote,,,,,Tillis,R,NC,Yea
Vote,,,,,Toomey,R,PA,Yea
Vote,,,,,Udall,D,NM,Nay
Vote,,,,,Van Hollen,D,MD,Nay
Vote,,,,,Warner,D,VA,Nay
Vote,,,,,Warren,D,MA,Nay
Vote,,,,,Whitehouse,D,RI,Nay
Vote,,,,,Wicker,R,MS,Yea
Vote,,,,,Wyden,D,OR,Nay
Vote,,,,,Young,R,IN,Yea
Metadata,"September 19, 2017, 11:01 AM",Cloture Motion Agreed to,QUESTION,"On the Cloture Motion (Motion to Invoke Cloture on the Nomination of Noel J. Francisco, of the District of Columbia, to be Solicitor General of the United States ) Vote Number: 200 Vote Date: September 19, 2017, 11:01 AM Required For Majority: 1/2 Vote Result: Cloture Motion Agreed to Nomination Number: PN299 Nomination Description: Noel J. Francisco, of the District of Columbia, to be Solicitor General of the United States",,,,
Vote,,,,,Alexander,R,TN,Yea
Vote,,,,,Baldwin,D,WI,Nay
Vote,,,,,Barrasso,R,WY,Yea
Vote,,,,,Bennet,D,CO,Nay
Vote,,,,,Blumenthal,D,CT,Nay
Vote,,,,,Blunt,R,MO,Yea
Vote,,,,,Booker,D,NJ,Nay
Vote,,,,,Boozman,R,AR,Yea
Vote,,,,,Brown,D,OH,Nay
Vote,,,,,Burr,R,NC,Yea
Vote,,,,,Cantwell,D,WA,Nay
Vote,,,,,Capito,R,WV,Yea
Vote,,,,,Cardin,D,MD,Nay
Vote,,,,,Carper,D,DE,Nay
Vote,,,,,Casey,D,PA,Nay
Vote,,,,,Cassidy,R,LA,Yea
Vote,,,,,Cochran,R,MS,Not Voting
Vote,,,,,Collins,R,ME,Yea
Vote,,,,,Coons,D,DE,Nay
Vote,,,,,Corker,R,TN,Yea
Vote,,,,,Cornyn,R,TX,Yea
Vote,,,,,Cortez Masto,D,NV,Nay
Vote,,,,,Cotton,R,AR,Yea
Vote,,,,,Crapo,R,ID,Yea
Vote,,,,,Cruz,R,TX,Yea
Vote,,,,,Daines,R,MT,Yea
Vote,,,,,Donnelly,D,IN,Nay
Vote,,,,,Duckworth,D,IL,Nay
Vote,,,,,Durbin,D,IL,Nay
Vote,,,,,Enzi,R,WY,Yea
Vote,,,,,Ernst,R,IA,Yea
Vote,,,,,Feinstein,D,CA,Nay
Vote,,,,,Fischer,R,NE,Yea
Vote,,,,,Flake,R,AZ,Yea
Vote,,,,,Franken,D,MN,Nay
Vote,,,,,Gardner,R,CO,Yea
Vote,,,,,Gillibrand,D,NY,Nay
Vote,,,,,Graham,R,SC,Not Voting
Vote,,,,,Grassley,R,IA,Yea
Vote,,,,,Harris,D,CA,Nay
Vote,,,,,Hassan,D,NH,Nay
Vote,,,,,Hatch,R,UT,Yea
Vote,,,,,Heinrich,D,NM,Nay
Vote,,,,,Heitkamp,D,ND,Nay
Vote,,,,,Heller,R,NV,Yea
Vote,,,,,Hirono,D,HI,Nay
Vote,,,,,Hoeven,R,ND,Yea
Vote,,,,,Inhofe,R,OK,Yea
Vote,,,,,Isakson,R,GA,Yea
Vote,,,,,Johnson,R,WI,Yea
Vote,,,,,Kaine,D,VA,Nay
Vote,,,,,Kennedy,R,LA,Yea
Vote,,,,,King,I,ME,Nay
Vote,,,,,Klobuchar,D,MN,Nay
Vote,,,,,Lankford,R,OK,Yea
Vote,,,,,Leahy,D,VT,Nay
Vote,,,,,Lee,R,UT,Yea
Vote,,,,,Manchin,D,WV,Nay
Vote,,,,,Markey,D,MA,Nay
Vote,,,,,McCain,R,AZ,Yea
Vote,,,,,McCaskill,D,MO,Nay
Vote,,,,,McConnell,R,KY,Yea
Vote,,,,,Menendez,D,NJ,Not Voting
Vote,,,,,Merkley,D,OR,Nay
Vote,,,,,Moran,R,KS,Not Voting
Vote,,,,,Murkowski,R,AK,Yea
Vote,,,,,Murphy,D,CT,Nay
Vote,,,,,Murray,D,WA,Nay
Vote,,,,,Nelson,D,FL,Nay
Vote,,,,,Paul,R,KY,Yea
Vote,,,,,Perdue,R,GA,Yea
Vote,,,,,Peters,D,MI,Nay
Vote,,,,,Portman,R,OH,Yea
Vote,,,,,Reed,D,RI,Nay
Vote,,,,,Risch,R,ID,Yea
Vote,,,,,Roberts,R,KS,Yea
Vote,,,,,Rounds,R,SD,Yea
Vote,,,,,Rubio,R,FL,Yea
Vote,,,,,Sanders,I,VT,Nay
Vote,,,,,Sasse,R,NE,Yea
Vote,,,,,Schatz,D,HI,Nay
Vote,,,,,Schumer,D,NY,Nay
Vote,,,,,Scott,R,SC,Yea
Vote,,,,,Shaheen,D,NH,Nay
Vote,,,,,Shelby,R,AL,Yea
Vote,,,,,Stabenow,D,MI,Nay
Vote,,,,,Strange,R,AL,Yea
Vote,,,,,Sullivan,R,AK,Yea
Vote,,,,,Tester,D,MT,Nay
Vote,,,,,Thune,R,SD,Yea
Vote,,,,,Tillis,R,NC,Yea
Vote,,,,,Toomey,R,PA,Yea
Vote,,,,,Udall,D,NM,Nay
Vote,,,,,Van Hollen,D,MD,Nay
Vote,,,,,Warner,D,VA,Nay
Vote,,,,,Warren,D,MA,Nay
Vote,,,,,Whitehouse,D,RI,Nay
Vote,,,,,Wicker,R,MS,Yea
Vote,,,,,Wyden,D,OR,Nay
Vote,,,,,Young,R,IN,Yea
Metadata,"September 18, 2017, 06:21 PM",Bill Passed,H.R. 2810,"To authorize appropriations for fiscal year 2018 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes",,,,
Vote,,,,,Alexander,R,TN,Yea
Vote,,,,,Baldwin,D,WI,Yea
Vote,,,,,Barrasso,R,WY,Yea
Vote,,,,,Bennet,D,CO,Yea
Vote,,,,,Blumenthal,D,CT,Yea
Vote,,,,,Blunt,R,MO,Yea
Vote,,,,,Booker,D,NJ,Yea
Vote,,,,,Boozman,R,AR,Yea
Vote,,,,,Brown,D,OH,Yea
Vote,,,,,Burr,R,NC,Yea
Vote,,,,,Cantwell,D,WA,Yea
Vote,,,,,Capito,R,WV,Yea
Vote,,,,,Cardin,D,MD,Yea
Vote,,,,,Carper,D,DE,Yea
Vote,,,,,Casey,D,PA,Yea
Vote,,,,,Cassidy,R,LA,Yea
Vote,,,,,Cochran,R,MS,Yea
Vote,,,,,Collins,R,ME,Yea
Vote,,,,,Coons,D,DE,Yea
Vote,,,,,Corker,R,TN,Nay
Vote,,,,,Cornyn,R,TX,Yea
Vote,,,,,Cortez Masto,D,NV,Yea
Vote,,,,,Cotton,R,AR,Yea
Vote,,,,,Crapo,R,ID,Yea
Vote,,,,,Cruz,R,TX,Yea
Vote,,,,,Daines,R,MT,Yea
Vote,,,,,Donnelly,D,IN,Yea
Vote,,,,,Duckworth,D,IL,Yea
Vote,,,,,Durbin,D,IL,Yea
Vote,,,,,Enzi,R,WY,Yea
Vote,,,,,Ernst,R,IA,Yea
Vote,,,,,Feinstein,D,CA,Yea
Vote,,,,,Fischer,R,NE,Yea
Vote,,,,,Flake,R,AZ,Yea
Vote,,,,,Franken,D,MN,Yea
Vote,,,,,Gardner,R,CO,Yea
Vote,,,,,Gillibrand,D,NY,Nay
Vote,,,,,Graham,R,SC,Not Voting
Vote,,,,,Grassley,R,IA,Yea
Vote,,,,,Harris,D,CA,Yea
Vote,,,,,Hassan,D,NH,Yea
Vote,,,,,Hatch,R,UT,Yea
Vote,,,,,Heinrich,D,NM,Yea
Vote,,,,,Heitkamp,D,ND,Yea
Vote,,,,,Heller,R,NV,Yea
Vote,,,,,Hirono,D,HI,Yea
Vote,,,,,Hoeven,R,ND,Yea
Vote,,,,,Inhofe,R,OK,Yea
Vote,,,,,Isakson,R,GA,Yea
Vote,,,,,Johnson,R,WI,Yea
Vote,,,,,Kaine,D,VA,Yea
Vote,,,,,Kennedy,R,LA,Yea
Vote,,,,,King,I,ME,Yea
Vote,,,,,Klobuchar,D,MN,Yea
Vote,,,,,Lankford,R,OK,Yea
Vote,,,,,Leahy,D,VT,Nay
Vote,,,,,Lee,R,UT,Nay
Vote,,,,,Manchin,D,WV,Yea
Vote,,,,,Markey,D,MA,Yea
Vote,,,,,McCain,R,AZ,Yea
Vote,,,,,McCaskill,D,MO,Yea
Vote,,,,,McConnell,R,KY,Yea
Vote,,,,,Menendez,D,NJ,Not Voting
Vote,,,,,Merkley,D,OR,Nay
Vote,,,,,Moran,R,KS,Yea
Vote,,,,,Murkowski,R,AK,Yea
Vote,,,,,Murphy,D,CT,Yea
Vote,,,,,Murray,D,WA,Yea
Vote,,,,,Nelson,D,FL,Yea
Vote,,,,,Paul,R,KY,Nay
Vote,,,,,Perdue,R,GA,Yea
Vote,,,,,Peters,D,MI,Yea
Vote,,,,,Portman,R,OH,Yea
Vote,,,,,Reed,D,RI,Yea
Vote,,,,,Risch,R,ID,Yea
Vote,,,,,Roberts,R,KS,Yea
Vote,,,,,Rounds,R,SD,Yea
Vote,,,,,Rubio,R,FL,Not Voting
Vote,,,,,Sanders,I,VT,Nay
Vote,,,,,Sasse,R,NE,Yea
Vote,,,,,Schatz,D,HI,Yea
Vote,,,,,Schumer,D,NY,Yea
Vote,,,,,Scott,R,SC,Yea
Vote,,,,,Shaheen,D,NH,Yea
Vote,,,,,Shelby,R,AL,Yea
Vote,,,,,Stabenow,D,MI,Yea
Vote,,,,,Strange,R,AL,Yea
Vote,,,,,Sullivan,R,AK,Yea
Vote,,,,,Tester,D,MT,Yea
Vote,,,,,Thune,R,SD,Yea
Vote,,,,,Tillis,R,NC,Yea
Vote,,,,,Toomey,R,PA,Yea
Vote,,,,,Udall,D,NM,Yea
Vote,,,,,Van Hollen,D,MD,Yea
Vote,,,,,Warner,D,VA,Yea
Vote,,,,,Warren,D,MA,Yea
Vote,,,,,Whitehouse,D,RI,Yea
Vote,,,,,Wicker,R,MS,Yea
Vote,,,,,Wyden,D,OR,Nay
Vote,,,,,Young,R,IN,Yea
Metadata,"September 18, 2017, 05:32 PM",Cloture Motion Agreed to,H.R. 2810,"To authorize appropriations for fiscal year 2018 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes",,,,
Vote,,,,,Alexander,R,TN,Yea
Vote,,,,,Baldwin,D,WI,Yea
Vote,,,,,Barrasso,R,WY,Yea
Vote,,,,,Bennet,D,CO,Yea
Vote,,,,,Blumenthal,D,CT,Yea
Vote,,,,,Blunt,R,MO,Yea
Vote,,,,,Booker,D,NJ,Yea
Vote,,,,,Boozman,R,AR,Yea
Vote,,,,,Brown,D,OH,Yea
Vote,,,,,Burr,R,NC,Yea
Vote,,,,,Cantwell,D,WA,Yea
Vote,,,,,Capito,R,WV,Yea
Vote,,,,,Cardin,D,MD,Yea
Vote,,,,,Carper,D,DE,Yea
Vote,,,,,Casey,D,PA,Yea
Vote,,,,,Cassidy,R,LA,Yea
Vote,,,,,Cochran,R,MS,Yea
Vote,,,,,Collins,R,ME,Yea
Vote,,,,,Coons,D,DE,Yea
Vote,,,,,Corker,R,TN,Yea
Vote,,,,,Cornyn,R,TX,Yea
Vote,,,,,Cortez Masto,D,NV,Yea
Vote,,,,,Cotton,R,AR,Yea
Vote,,,,,Crapo,R,ID,Yea
Vote,,,,,Cruz,R,TX,Yea
Vote,,,,,Daines,R,MT,Yea
Vote,,,,,Donnelly,D,IN,Yea
Vote,,,,,Duckworth,D,IL,Yea
Vote,,,,,Durbin,D,IL,Nay
Vote,,,,,Enzi,R,WY,Yea
Vote,,,,,Ernst,R,IA,Yea
Vote,,,,,Feinstein,D,CA,Yea
Vote,,,,,Fischer,R,NE,Yea
Vote,,,,,Flake,R,AZ,Yea
Vote,,,,,Franken,D,MN,Yea
Vote,,,,,Gardner,R,CO,Yea
Vote,,,,,Gillibrand,D,NY,Nay
Vote,,,,,Graham,R,SC,Not Voting
Vote,,,,,Grassley,R,IA,Yea
Vote,,,,,Harris,D,CA,Yea
Vote,,,,,Hassan,D,NH,Yea
Vote,,,,,Hatch,R,UT,Yea
Vote,,,,,Heinrich,D,NM,Yea
Vote,,,,,Heitkamp,D,ND,Yea
Vote,,,,,Heller,R,NV,Yea
Vote,,,,,Hirono,D,HI,Yea
Vote,,,,,Hoeven,R,ND,Yea
Vote,,,,,Inhofe,R,OK,Yea
Vote,,,,,Isakson,R,GA,Yea
Vote,,,,,Johnson,R,WI,Yea
Vote,,,,,Kaine,D,VA,Yea
Vote,,,,,Kennedy,R,LA,Yea
Vote,,,,,King,I,ME,Yea
Vote,,,,,Klobuchar,D,MN,Yea
Vote,,,,,Lankford,R,OK,Yea
Vote,,,,,Leahy,D,VT,Yea
Vote,,,,,Lee,R,UT,Nay
Vote,,,,,Manchin,D,WV,Yea
Vote,,,,,Markey,D,MA,Yea
Vote,,,,,McCain,R,AZ,Yea
Vote,,,,,McCaskill,D,MO,Yea
Vote,,,,,McConnell,R,KY,Yea
Vote,,,,,Menendez,D,NJ,Not Voting
Vote,,,,,Merkley,D,OR,Nay
Vote,,,,,Moran,R,KS,Yea
Vote,,,,,Murkowski,R,AK,Yea
Vote,,,,,Murphy,D,CT,Yea
Vote,,,,,Murray,D,WA,Yea
Vote,,,,,Nelson,D,FL,Yea
Vote,,,,,Paul,R,KY,Nay
Vote,,,,,Perdue,R,GA,Yea
Vote,,,,,Peters,D,MI,Yea
Vote,,,,,Portman,R,OH,Yea
Vote,,,,,Reed,D,RI,Yea
Vote,,,,,Risch,R,ID,Yea
Vote,,,,,Roberts,R,KS,Yea
Vote,,,,,Rounds,R,SD,Yea
Vote,,,,,Rubio,R,FL,Not Voting
Vote,,,,,Sanders,I,VT,Nay
Vote,,,,,Sasse,R,NE,Yea
Vote,,,,,Schatz,D,HI,Yea
Vote,,,,,Schumer,D,NY,Yea
Vote,,,,,Scott,R,SC,Yea
Vote,,,,,Shaheen,D,NH,Yea
Vote,,,,,Shelby,R,AL,Yea
Vote,,,,,Stabenow,D,MI,Yea
Vote,,,,,Strange,R,AL,Yea
Vote,,,,,Sullivan,R,AK,Yea
Vote,,,,,Tester,D,MT,Yea
Vote,,,,,Thune,R,SD,Yea
Vote,,,,,Tillis,R,NC,Yea
Vote,,,,,Toomey,R,PA,Yea
Vote,,,,,Udall,D,NM,Yea
Vote,,,,,Van Hollen,D,MD,Yea
Vote,,,,,Warner,D,VA,Yea
Vote,,,,,Warren,D,MA,Yea
Vote,,,,,Whitehouse,D,RI,Yea
Vote,,,,,Wicker,R,MS,Yea
Vote,,,,,Wyden,D,OR,Nay
Vote,,,,,Young,R,IN,Yea
Metadata,"September 14, 2017, 03:25 PM",Cloture Motion Agreed to,S.Amdt. 1003,In the nature of a substitute,,,,
Vote,,,,,Alexander,R,TN,Yea
Vote,,,,,Baldwin,D,WI,Yea
Vote,,,,,Barrasso,R,WY,Yea
Vote,,,,,Bennet,D,CO,Yea
Vote,,,,,Blumenthal,D,CT,Yea
Vote,,,,,Blunt,R,MO,Yea
Vote,,,,,Booker,D,NJ,Nay
Vote,,,,,Boozman,R,AR,Yea
Vote,,,,,Brown,D,OH,Yea
Vote,,,,,Burr,R,NC,Not Voting
Vote,,,,,Cantwell,D,WA,Yea
Vote,,,,,Capito,R,WV,Yea
Vote,,,,,Cardin,D,MD,Yea
Vote,,,,,Carper,D,DE,Yea
Vote,,,,,Casey,D,PA,Yea
Vote,,,,,Cassidy,R,LA,Yea
Vote,,,,,Cochran,R,MS,Yea
Vote,,,,,Collins,R,ME,Yea
Vote,,,,,Coons,D,DE,Yea
Vote,,,,,Corker,R,TN,Yea
Vote,,,,,Cornyn,R,TX,Yea
Vote,,,,,Cortez Masto,D,NV,Yea
Vote,,,,,Cotton,R,AR,Yea
Vote,,,,,Crapo,R,ID,Yea
Vote,,,,,Cruz,R,TX,Yea
Vote,,,,,Daines,R,MT,Yea
Vote,,,,,Donnelly,D,IN,Yea
Vote,,,,,Duckworth,D,IL,Yea
Vote,,,,,Durbin,D,IL,Nay
Vote,,,,,Enzi,R,WY,Yea
Vote,,,,,Ernst,R,IA,Yea
Vote,,,,,Feinstein,D,CA,Yea
Vote,,,,,Fischer,R,NE,Yea
Vote,,,,,Flake,R,AZ,Yea
Vote,,,,,Franken,D,MN,Yea
Vote,,,,,Gardner,R,CO,Yea
Vote,,,,,Gillibrand,D,NY,Nay
Vote,,,,,Graham,R,SC,Yea
Vote,,,,,Grassley,R,IA,Yea
Vote,,,,,Harris,D,CA,Yea
Vote,,,,,Hassan,D,NH,Yea
Vote,,,,,Hatch,R,UT,Yea
Vote,,,,,Heinrich,D,NM,Yea
Vote,,,,,Heitkamp,D,ND,Yea
Vote,,,,,Heller,R,NV,Yea
Vote,,,,,Hirono,D,HI,Yea
Vote,,,,,Hoeven,R,ND,Yea
Vote,,,,,Inhofe,R,OK,Yea
Vote,,,,,Isakson,R,GA,Not Voting
Vote,,,,,Johnson,R,WI,Yea
Vote,,,,,Kaine,D,VA,Yea
Vote,,,,,Kennedy,R,LA,Yea
Vote,,,,,King,I,ME,Yea
Vote,,,,,Klobuchar,D,MN,Yea
Vote,,,,,Lankford,R,OK,Yea
Vote,,,,,Leahy,D,VT,Not Voting
Vote,,,,,Lee,R,UT,Nay
Vote,,,,,Manchin,D,WV,Yea
Vote,,,,,Markey,D,MA,Nay
Vote,,,,,McCain,R,AZ,Yea
Vote,,,,,McCaskill,D,MO,Yea
Vote,,,,,McConnell,R,KY,Yea
Vote,,,,,Menendez,D,NJ,Not Voting
Vote,,,,,Merkley,D,OR,Nay
Vote,,,,,Moran,R,KS,Yea
Vote,,,,,Murkowski,R,AK,Yea
Vote,,,,,Murphy,D,CT,Yea
Vote,,,,,Murray,D,WA,Yea
Vote,,,,,Nelson,D,FL,Not Voting
Vote,,,,,Paul,R,KY,Nay
Vote,,,,,Perdue,R,GA,Yea
Vote,,,,,Peters,D,MI,Yea
Vote,,,,,Portman,R,OH,Yea
Vote,,,,,Reed,D,RI,Yea
Vote,,,,,Risch,R,ID,Yea
Vote,,,,,Roberts,R,KS,Yea
Vote,,,,,Rounds,R,SD,Yea
Vote,,,,,Rubio,R,FL,Not Voting
Vote,,,,,Sanders,I,VT,Nay
Vote,,,,,Sasse,R,NE,Yea
Vote,,,,,Schatz,D,HI,Yea
Vote,,,,,Schumer,D,NY,Yea
Vote,,,,,Scott,R,SC,Yea
Vote,,,,,Shaheen,D,NH,Yea
Vote,,,,,Shelby,R,AL,Yea
Vote,,,,,Stabenow,D,MI,Yea
Vote,,,,,Strange,R,AL,Yea
Vote,,,,,Sullivan,R,AK,Yea
Vote,,,,,Tester,D,MT,Yea
Vote,,,,,Thune,R,SD,Yea
Vote,,,,,Tillis,R,NC,Yea
Vote,,,,,Toomey,R,PA,Not Voting
Vote,,,,,Udall,D,NM,Yea
Vote,,,,,Van Hollen,D,MD,Yea
Vote,,,,,Warner,D,VA,Yea
Vote,,,,,Warren,D,MA,Yea
Vote,,,,,Whitehouse,D,RI,Yea
Vote,,,,,Wicker,R,MS,Yea
Vote,,,,,Wyden,D,OR,Nay
Vote,,,,,Young,R,IN,Yea
Metadata,"September 14, 2017, 01:41 PM",Nomination Confirmed,QUESTION,"On the Nomination (Confirmation Pamela Hughes Patenaude, of New Hampshire, to be Deputy Secretary of Housing and Urban Development ) Vote Number: 196 Vote Date: September 14, 2017, 01:41 PM Required For Majority: 1/2 Vote Result: Nomination Confirmed Nomination Number: PN363 Nomination Description: Pamela Hughes Patenaude, of New Hampshire, to be Deputy Secretary of Housing and Urban Development",,,,
Vote,,,,,Alexander,R,TN,Yea
Vote,,,,,Baldwin,D,WI,Yea
Vote,,,,,Barrasso,R,WY,Yea
Vote,,,,,Bennet,D,CO,Yea
Vote,,,,,Blumenthal,D,CT,Nay
Vote,,,,,Blunt,R,MO,Yea
Vote,,,,,Booker,D,NJ,Nay
Vote,,,,,Boozman,R,AR,Yea
Vote,,,,,Brown,D,OH,Nay
Vote,,,,,Burr,R,NC,Yea
Vote,,,,,Cantwell,D,WA,Yea
Vote,,,,,Capito,R,WV,Yea
Vote,,,,,Cardin,D,MD,Yea
Vote,,,,,Carper,D,DE,Yea
Vote,,,,,Casey,D,PA,Yea
Vote,,,,,Cassidy,R,LA,Yea
Vote,,,,,Cochran,R,MS,Yea
Vote,,,,,Collins,R,ME,Yea
Vote,,,,,Coons,D,DE,Yea
Vote,,,,,Corker,R,TN,Yea
Vote,,,,,Cornyn,R,TX,Yea
Vote,,,,,Cortez Masto,D,NV,Yea
Vote,,,,,Cotton,R,AR,Yea
Vote,,,,,Crapo,R,ID,Yea
Vote,,,,,Cruz,R,TX,Yea
Vote,,,,,Daines,R,MT,Yea
Vote,,,,,Donnelly,D,IN,Yea
Vote,,,,,Duckworth,D,IL,Nay
Vote,,,,,Durbin,D,IL,Yea
Vote,,,,,Enzi,R,WY,Yea
Vote,,,,,Ernst,R,IA,Yea
Vote,,,,,Feinstein,D,CA,Yea
Vote,,,,,Fischer,R,NE,Yea
Vote,,,,,Flake,R,AZ,Yea
Vote,,,,,Franken,D,MN,Yea
Vote,,,,,Gardner,R,CO,Yea
Vote,,,,,Gillibrand,D,NY,Nay
Vote,,,,,Graham,R,SC,Yea
Vote,,,,,Grassley,R,IA,Yea
Vote,,,,,Harris,D,CA,Nay
Vote,,,,,Hassan,D,NH,Yea
Vote,,,,,Hatch,R,UT,Yea
Vote,,,,,Heinrich,D,NM,Nay
Vote,,,,,Heitkamp,D,ND,Yea
Vote,,,,,Heller,R,NV,Yea
Vote,,,,,Hirono,D,HI,Nay
Vote,,,,,Hoeven,R,ND,Yea
Vote,,,,,Inhofe,R,OK,Yea
Vote,,,,,Isakson,R,GA,Yea
Vote,,,,,Johnson,R,WI,Yea
Vote,,,,,Kaine,D,VA,Yea
Vote,,,,,Kennedy,R,LA,Yea
Vote,,,,,King,I,ME,Yea
Vote,,,,,Klobuchar,D,MN,Yea
Vote,,,,,Lankford,R,OK,Yea
Vote,,,,,Leahy,D,VT,Yea
Vote,,,,,Lee,R,UT,Yea
Vote,,,,,Manchin,D,WV,Yea
Vote,,,,,Markey,D,MA,Nay
Vote,,,,,McCain,R,AZ,Yea
Vote,,,,,McCaskill,D,MO,Yea
Vote,,,,,McConnell,R,KY,Yea
Vote,,,,,Menendez,D,NJ,Not Voting
Vote,,,,,Merkley,D,OR,Nay
Vote,,,,,Moran,R,KS,Yea
Vote,,,,,Murkowski,R,AK,Yea
Vote,,,,,Murphy,D,CT,Yea
Vote,,,,,Murray,D,WA,Yea
Vote,,,,,Nelson,D,FL,Not Voting
Vote,,,,,Paul,R,KY,Yea
Vote,,,,,Perdue,R,GA,Yea
Vote,,,,,Peters,D,MI,Yea
Vote,,,,,Portman,R,OH,Yea
Vote,,,,,Reed,D,RI,Yea
Vote,,,,,Risch,R,ID,Yea
Vote,,,,,Roberts,R,KS,Yea
Vote,,,,,Rounds,R,SD,Yea
Vote,,,,,Rubio,R,FL,Not Voting
Vote,,,,,Sanders,I,VT,Nay
Vote,,,,,Sasse,R,NE,Yea
Vote,,,,,Schatz,D,HI,Nay
Vote,,,,,Schumer,D,NY,Nay
Vote,,,,,Scott,R,SC,Yea
Vote,,,,,Shaheen,D,NH,Yea
Vote,,,,,Shelby,R,AL,Yea
Vote,,,,,Stabenow,D,MI,Yea
Vote,,,,,Strange,R,AL,Yea
Vote,,,,,Sullivan,R,AK,Yea
Vote,,,,,Tester,D,MT,Yea
Vote,,,,,Thune,R,SD,Yea
Vote,,,,,Tillis,R,NC,Yea
Vote,,,,,Toomey,R,PA,Yea
Vote,,,,,Udall,D,NM,Nay
Vote,,,,,Van Hollen,D,MD,Yea
Vote,,,,,Warner,D,VA,Yea
Vote,,,,,Warren,D,MA,Nay
Vote,,,,,Whitehouse,D,RI,Nay
Vote,,,,,Wicker,R,MS,Yea
Vote,,,,,Wyden,D,OR,Nay
Vote,,,,,Young,R,IN,Yea
